Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2014,21,CHC,NL,52,229,213,25,36,6,0,9,20,5,1,15,95,.169,.227,.324,.551,52,69,5,1,0,0,0,64,
2015,22,CHC,NL,28,80,76,4,22,6,0,1,4,1,2,4,24,.289,.325,.408,.733,102,31,0,0,0,0,1,45/63,
2016,23,CHC,NL,142,450,421,50,115,19,1,14,59,12,3,15,108,.273,.314,.423,.737,94,178,8,11,1,2,3,546/37,
2017,24,CHC,NL,145,508,469,75,128,24,2,23,75,10,3,30,144,.273,.317,.480,.796,102,225,10,1,6,2,15,46/539,
2018,25,CHC,NL,160,645,606,101,176,40,9,34,111,21,9,29,167,.290,.326,.554,.881,126,336,10,5,1,4,8,465/3,AS
